Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,timestamp,model_smart_dumb_spread_close,model_percent_bearish_close
-2.204,-3.656,-2.487,-4.658,1.0,11.0,11.0,-18.229,-40.689,-3.435,-15.504,-26.048,-35.117,-41.826,50.263,2008-11-11,0.19,0.04
-5.189,-2.591,-3.89,-2.8,2.0,12.0,11.0,-23.708,-48.094,-7.277,-20.97,-32.295,-39.057,-41.272,43.763,2008-11-12,0.24,0.02
6.921,2.196,-3.738,-2.623,3.0,13.0,11.0,-14.986,-38.252,-0.266,-12.624,-23.261,-36.993,-40.416,53.633,2008-11-13,0.21,0.02
-4.17,0.424,6.253,3.981,4.0,14.0,11.0,-19.144,-43.968,-3.703,-16.838,-28.058,-37.985,-39.93,52.511,2008-11-14,0.24,0.05
-2.581,-3.773,-2.403,-3.264,0.0,17.0,11.0,-21.32,-47.471,-5.161,-19.151,-30.828,-40.128,-39.97,39.216,2008-11-17,0.25,0.04
0.984,-1.858,-2.608,-1.482,1.0,18.0,11.0,-19.288,-45.757,-3.309,-17.285,-28.968,-40.682,-40.112,41.431,2008-11-18,0.3,0.02
-6.116,-0.154,-2.499,0.986,2.0,19.0,11.0,-26.003,-54.929,-8.031,-23.947,-36.629,-44.844,-41.058,33.339,2008-11-19,0.33,0.02
-6.712,-5.095,-7.244,-7.228,3.0,20.0,11.0,-33.749,-65.688,-12.643,-31.577,-45.54,-51.912,-43.229,27.568,2008-11-20,0.37,0.0
6.325,-2.355,-0.904,-4.052,4.0,21.0,11.0,-24.664,-55.5,-4.754,-22.819,-36.152,-53.062,-45.196,34.234,2008-11-21,0.39,0.0
6.472,8.038,8.121,7.173,0.0,24.0,11.0,-16.285,-45.761,1.291,-14.751,-27.323,-49.227,-46.002,35.736,2008-11-24,0.33,0.09
0.655,0.386,4.217,6.144,1.0,25.0,11.0,-14.698,-44.526,1.547,-13.455,-25.97,-45.217,-45.845,40.311,2008-11-25,0.27,0.07
3.533,2.157,0.764,-3.201,2.0,26.0,11.0,-10.179,-39.324,3.925,-9.208,-21.242,-39.144,-44.505,48.188,2008-11-26,0.2,0.11
0.964,0.965,4.735,5.085,4.0,28.0,11.0,-8.434,-37.741,3.874,-7.844,-19.687,-33.256,-42.255,46.199,2008-11-28,0.16,0.13
-8.93,-0.852,-7.435,-1.493,0.0,1.0,12.0,-17.991,-50.92,-4.441,-17.696,-30.8,-34.649,-40.734,40.196,2008-12-01,0.17,0.07
3.994,-4.284,0.276,-4.425,1.0,2.0,12.0,-12.615,-44.829,-0.344,-12.659,-25.266,-32.744,-39.136,45.337,2008-12-02,0.17,0.07
2.584,2.655,1.181,-0.457,2.0,3.0,12.0,-9.049,-40.9,1.747,-9.437,-21.673,-29.13,-37.135,51.797,2008-12-03,0.2,0.07
-2.931,0.284,0.725,3.386,3.0,4.0,12.0,-11.536,-44.861,-0.976,-12.241,-24.845,-28.002,-35.308,43.11,2008-12-04,0.19,0.05
3.65,0.436,-1.822,-2.435,4.0,5.0,12.0,-6.848,-39.487,2.064,-7.964,-20.044,-24.338,-33.114,50.294,2008-12-05,0.17,0.16
3.839,4.452,7.857,7.532,0.0,8.0,12.0,-2.231,-34.077,4.548,-3.817,-15.297,-18.507,-30.193,56.097,2008-12-08,0.12,0.11
-2.312,-0.251,0.302,-0.147,1.0,9.0,12.0,-4.16,-36.972,1.831,-6.027,-17.668,-15.406,-27.235,52.978,2008-12-09,0.08,0.2
1.189,-0.872,0.008,0.056,2.0,10.0,12.0,-2.342,-35.095,2.388,-4.594,-15.963,-11.957,-24.18,60.203,2008-12-10,0.06,0.18
-2.852,-0.401,-1.888,-0.854,3.0,11.0,12.0,-4.688,-38.779,-0.383,-7.364,-18.984,-11.165,-21.577,64.233,2008-12-11,0.08,0.16
0.703,-2.365,-2.001,-1.995,4.0,12.0,12.0,-3.425,-37.554,0.254,-6.355,-17.794,-9.927,-19.247,60.373,2008-12-12,0.06,0.13
-1.269,0.157,0.748,1.304,0.0,15.0,12.0,-4.222,-39.055,-0.822,-7.419,-18.925,-9.735,-17.344,52.439,2008-12-15,0.07,0.11
5.136,3.395,1.61,-0.879,1.0,16.0,12.0,1.184,-32.035,3.283,-2.086,-12.856,-5.914,-15.058,57.291,2008-12-16,0.0,0.14
-0.959,0.458,2.801,2.872,2.0,17.0,12.0,0.43,-33.077,1.877,-2.955,-13.673,-3.552,-12.757,52.318,2008-12-17,-0.04,0.14
-2.116,-0.852,-2.065,0.824,3.0,18.0,12.0,-1.498,-35.717,-0.196,-4.977,-15.811,-3.188,-10.843,48.525,2008-12-18,-0.06,0.13
0.294,-0.609,0.636,-2.007,4.0,19.0,12.0,-1.151,-35.092,0.078,-4.487,-15.166,-2.659,-9.207,62.181,2008-12-19,-0.05,0.14
-1.83,-1.999,-2.937,-0.158,0.0,22.0,12.0,-2.973,-37.38,-1.428,-6.182,-16.97,-3.511,-8.067,54.107,2008-12-22,-0.05,0.16
-0.972,-0.781,0.351,-0.96,1.0,23.0,12.0,-3.659,-38.463,-1.938,-6.941,-17.759,-4.814,-7.417,48.566,2008-12-23,-0.06,0.18
0.578,-1.21,0.156,-1.827,2.0,24.0,12.0,-2.764,-37.413,-1.082,-6.078,-16.744,-5.382,-7.01,54.702,2008-12-24,-0.06,0.16
0.536,0.454,0.59,0.961,4.0,26.0,12.0,-2.136,-36.427,-0.435,-5.297,-15.803,-5.394,-6.687,49.249,2008-12-26,-0.09,0.18
-0.387,0.002,-1.091,0.198,0.0,29.0,12.0,-2.356,-36.717,-0.66,-5.483,-15.931,-5.612,-6.472,39.253,2008-12-29,-0.1,0.16
2.441,1.987,1.576,0.013,1.0,30.0,12.0,0.195,-33.243,1.39,-2.853,-12.908,-4.026,-5.983,50.525,2008-12-30,-0.13,0.21
