Close_Diff,High_Diff,Low_Diff,Open_Diff,Day_of_Week,Day_of_Month,Month,MA_50_Diff,MA_200_Diff,EMA_9_Diff,EMA_50_Diff,EMA_100_Diff,MACD,MACD_Signal,RSI,Date,model_smart_dumb_spread_close,model_percent_bearish_close
-3.834,-1.541,-2.846,-3.834,1.0,4.0,1.0,-0.148,3.727,-3.066,-0.369,1.68,13.342,16.244,48.7,2000-01-04,-0.25,0.43
0.192,-2.883,-1.413,0.192,2.0,5.0,1.0,-0.11,3.862,-2.295,-0.169,1.832,9.268,14.849,45.903,2000-01-05,-0.18,0.48
0.096,-0.097,1.041,0.096,3.0,6.0,1.0,-0.188,3.906,-1.757,-0.071,1.887,6.078,13.095,44.223,2000-01-06,-0.15,0.48
2.709,2.094,0.611,2.709,4.0,7.0,1.0,2.254,6.388,0.741,2.468,4.386,6.542,11.784,56.067,2000-01-07,-0.26,0.39
1.119,1.588,2.923,1.119,0.0,10.0,1.0,3.177,7.364,1.472,3.408,5.337,8.118,11.051,60.875,2000-01-10,-0.33,0.43
-1.306,-0.376,-0.489,-1.306,1.0,11.0,1.0,1.791,6.093,0.134,2.046,4.003,7.741,10.389,51.384,2000-01-11,-0.37,0.43
-0.439,-0.929,-0.495,-0.439,2.0,12.0,1.0,1.249,5.633,-0.245,1.551,3.509,6.854,9.682,48.973,2000-01-12,-0.35,0.35
1.217,0.644,0.345,1.217,3.0,13.0,1.0,2.296,6.712,0.768,2.628,4.577,7.472,9.24,47.649,2000-01-13,-0.36,0.43
1.067,1.265,1.217,1.067,4.0,14.0,1.0,3.177,7.638,1.453,3.513,5.474,9.105,9.213,52.029,2000-01-14,-0.39,0.43
-0.683,-0.533,0.108,-0.683,1.0,18.0,1.0,2.384,6.957,0.62,2.737,4.728,9.481,9.267,49.394,2000-01-18,-0.38,0.48
0.052,-0.199,-0.179,0.052,2.0,19.0,1.0,2.317,6.958,0.538,2.679,4.683,9.729,9.359,48.136,2000-01-19,-0.34,0.48
-0.71,0.228,-0.697,-0.71,3.0,20.0,1.0,1.524,6.252,-0.139,1.905,3.923,8.989,9.285,45.545,2000-01-20,-0.29,0.48
-0.291,-0.874,0.068,-0.291,4.0,21.0,1.0,1.131,5.944,-0.345,1.555,3.57,7.97,9.022,43.409,2000-01-21,-0.27,0.48
